Size,Case,Comparisons,Movements,Time(ms)
100,best,356,1344,0.00
100,average,553,1344,1.00
100,worst,316,1344,0.00
1000,best,5044,19952,3.00
1000,average,8706,19952,2.00
1000,worst,4932,19952,2.00
10000,best,69008,267232,21.00
10000,average,120379,267232,25.00
10000,worst,64608,267232,28.00
100000,best,853904,3337856,207.00
100000,average,1536276,3337856,269.00
100000,worst,815024,3337856,272.00
1000000,best,10066432,39902848,2181.00
1000000,average,18674567,39902848,2242.00
1000000,worst,9884992,39902848,2021.00
